"/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/in (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cr018gpii_v1d0.scs:tt,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ff,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:ss,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:sf,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) X","/out (modelFiles=cor_std_mos.scs:fs,cr018gpii_v1d0.scs:stat_noise,cr018gpii_v1d0.scs:stat,save_op_M0.scs,save_op_M1.scs) Y"
2.881963218990539,1.37506758836594,2.881963218990539,0.05695100725429803,3.089547911111926,0.0108492031826217,2.845482600636599,0.8579605044905898,2.891720877080313,0.05868769403239597,2.852259534574885,0.3090879290888917
2.88604777652691,1.389771995496876,2.88604777652691,0.03930639702756809,3.094331640570875,0.01720269745664559,2.845488828954373,0.8550232390006218,2.895658942865067,0.04082444466332076,2.853335799378696,0.2806956876944425
2.890570522007574,1.406053879227266,2.890570522007574,0.02588368225641959,3.096921453222368,0.02200897957089099,2.845497234499654,0.8510654730283911,2.900025919837644,0.02713181605458068,2.854679165157572,0.2494887990998643
2.892821663445512,1.414157988403843,2.892821663445512,0.02096920917645768,3.099451685546447,0.0279342820548534,2.845507244035591,0.8463625193812149,2.904891833861245,0.01708083328607102,2.856435982826511,0.2143967598847586
2.897323946321388,1.430366206756997,2.897323946321388,0.01368582794577669,3.101550350177894,0.03398151171165206,2.845520534531117,0.8401369004544018,2.907538546081912,0.01324067527239333,2.858704517797994,0.1766691059942311
2.900060053511138,1.440216192640099,2.900060053511138,0.0105258987009093,3.105747679440788,0.05003683580779103,2.845536854867103,0.8325256591176112,2.910776867106463,0.009666300484579712,2.861281909964105,0.1419113873030232
2.903576335954244,1.452874809435277,2.903576335954244,0.007486162295958609,3.107359335788451,0.05794915972418368,2.845557296997022,0.8230535127761693,2.91409645556138,0.006980030936164869,2.864166410358991,0.1109588653495389
2.907286765769939,1.466232356771781,2.907286765769939,0.005205402314605859,3.110582648483778,0.07749644339658501,2.845582650913765,0.8114194707984961,2.918013486882185,0.004736237586207236,2.867438716106774,0.08371228225364097
2.911754167547596,1.482315003171344,2.911754167547596,0.003345526884348786,3.11196896305054,0.08771477489240376,2.845614157681125,0.7971795670693159,2.922629463285835,0.002985563091035421,2.871137221796734,0.06060092166253948
2.917167335968611,1.501802409486999,2.917167335968611,0.001946827754913051,3.114741592184065,0.1121539703786978,2.845652996725251,0.7800459152280048,2.928366903887103,0.001672841732892741,2.875262332105073,0.0419992296938668
