Point,Corner,mc_iteration,Pass/Fail,Voltage_thres,gm_0,gm_1,ID_max,ID_Interpol,Gain_inter,Rout_0,Rout_1,Voh,Vol,Vih,Vil
86,nom,86,,1.29204045517040e+00,8.48896054084541e-05,1.02417197332551e-05,4.95264182164891e-06,4.94276878837022e-06,-8.51722757339910e+01,9.51165469211813e+05,1.77675555133418e+07,1.75447569292176e+00,3.90667078305593e-02,1.40680002621191e+00,1.26633549157775e+00
87,nom,87,,1.26135687426029e+00,7.78247774460685e-05,9.96716459053940e-06,4.66095049434286e-06,4.65283491381517e-06,-9.07503204727825e+01,1.10474448438737e+06,1.84313303168203e+07,1.75434624370426e+00,3.94868099460584e-02,1.37558924822744e+00,1.23568755872252e+00
88,nom,88,,1.27448953325024e+00,7.60523834537521e-05,9.58709767115991e-06,4.45541364244250e-06,4.44730287562333e-06,-9.18083084480770e+01,1.14431567168984e+06,1.96531360309685e+07,1.75517555650287e+00,3.91887320434660e-02,1.38721485333265e+00,1.24926682496664e+00
89,nom,89,,1.27829429964992e+00,8.45317095689756e-05,1.03756991025839e-05,5.01937450371650e-06,5.01082678947069e-06,-8.76927436489396e+01,9.85292175901803e+05,1.71560411604144e+07,1.75390372975379e+00,3.92689010992008e-02,1.39366980817029e+00,1.25246887751511e+00
90,nom,90,,1.29687712270551e+00,9.30254404210069e-05,1.09816842964781e-05,5.46530491656452e-06,5.45441088208043e-06,-8.18153437312845e+01,8.34250407114631e+05,1.60004731544864e+07,1.75352956140101e+00,3.90122816723103e-02,1.41352015749036e+00,1.27076350356655e+00
91,nom,91,,1.25294018671081e+00,8.05372155239276e-05,1.04430636006924e-05,4.91187299341986e-06,4.90304667589612e-06,-8.81611727844664e+01,1.03518013317011e+06,1.73239301357570e+07,1.75363372658986e+00,3.97856379416121e-02,1.36855337789738e+00,1.22671212222350e+00
92,nom,92,,1.27059652634827e+00,7.87703449914431e-05,9.98783763808193e-06,4.65743285945190e-06,4.64904091566123e-06,-9.15977763254496e+01,1.10182526453978e+06,1.87976658206749e+07,1.75467604652924e+00,3.92371294236418e-02,1.38385994675572e+00,1.24518364351003e+00
93,nom,93,,1.28151976411307e+00,8.68314614373379e-05,1.05548953840551e-05,5.16417180487478e-06,5.15518227500204e-06,-8.54871986612371e+01,9.34950353965878e+05,1.66281929745262e+07,1.75366267172907e+00,3.93154756766278e-02,1.39764910159011e+00,1.25546035681688e+00
94,nom,94,,1.28551675729834e+00,8.19953911681125e-05,1.01380876944446e-05,4.78215437471705e-06,4.77251230029384e-06,-8.84715079558995e+01,1.02158477955942e+06,1.86215783056068e+07,1.75482749171376e+00,3.90230993733095e-02,1.39882726970746e+00,1.26008676609119e+00
95,nom,95,,1.26150530622291e+00,7.31841016452994e-05,9.44378491376923e-06,4.34189654854023e-06,4.33394453142226e-06,-9.17877327643518e+01,1.18703878306756e+06,1.98822797664279e+07,1.75509979298077e+00,3.94592042084878e-02,1.37456141289515e+00,1.23611495544918e+00
96,nom,96,,1.26340438803171e+00,7.28507126737554e-05,9.38267731294563e-06,4.30309797922163e-06,4.29531713661863e-06,-9.28346730639171e+01,1.20661503689386e+06,2.01422506566506e+07,1.75524661950737e+00,3.93570578322205e-02,1.37603681848299e+00,1.23817504289220e+00
