/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,GanhoEdNeo (Design_Point=1) X,GanhoEdNeo (Design_Point=1) Y,/I37/I0/b1 (Design_Point=1) X,/I37/I0/b1 (Design_Point=1) Y,GanhoVprod (Design_Point=1) X,GanhoVprod (Design_Point=1) Y
-0.3869999999999999,1.696783814957481,-0.3859999999999999,-0.05103644385107126,-0.3869999999999999,1.252678306942962,-0.3859999999999999,0.2497705099757661
-0.3859999999999999,1.696732778513629,-0.3849999999999999,-0.05135452723314943,-0.3859999999999999,1.252928077452938,-0.3849999999999999,0.2497666808645158
-0.3849999999999999,1.696681423986396,-0.3839999999999999,-0.05167546208406643,-0.3849999999999999,1.253177844133802,-0.3839999999999999,0.2497627509023823
-0.3839999999999999,1.696629748524312,-0.3829999999999999,-0.0519992845544603,-0.3839999999999999,1.253427606884705,-0.3829999999999999,0.2497587177030522
-0.3829999999999999,1.696577749239758,-0.3819999999999999,-0.05232602806026771,-0.3829999999999999,1.253677365602408,-0.3819999999999999,0.2497545788349151
-0.3819999999999999,1.696525423211698,-0.3809999999999999,-0.05265572931723023,-0.3819999999999999,1.253927120181243,-0.3809999999999999,0.2497503317984149
-0.3809999999999999,1.69647276748238,-0.3799999999999999,-0.05298842460477177,-0.3809999999999999,1.254176870513041,-0.3799999999999999,0.2497459740451455
-0.3799999999999999,1.696419779057776,-0.3789999999999999,-0.0533241518956284,-0.3799999999999999,1.254426616487086,-0.3789999999999999,0.2497415029649728
-0.3789999999999999,1.69636645490588,-0.3779999999999999,-0.05366294690301027,-0.3789999999999999,1.254676357990051,-0.3779999999999999,0.2497369158875882
-0.3779999999999999,1.696312791958977,-0.3769999999999999,-0.05400484979367621,-0.3779999999999999,1.254926094905939,-0.3769999999999999,0.2497322100800667
-0.3769999999999999,1.696258787109183,-0.3759999999999999,-0.05434989770480842,-0.3769999999999999,1.255175827116019,-0.3759999999999999,0.2497273827481992
-0.3759999999999999,1.696204437211478,-0.3749999999999999,-0.05469813209324487,-0.3759999999999999,1.255425554498767,-0.3749999999999999,0.2497224310347155
-0.3749999999999999,1.696149739079385,-0.3739999999999999,-0.0550495917728266,-0.3749999999999999,1.255675276929802,-0.3739999999999999,0.2497173520126237
-0.3739999999999999,1.696094689487612,-0.3729999999999999,-0.0554043178730978,-0.3739999999999999,1.255924994281814,-0.3729999999999999,0.2497121426936475
-0.3729999999999999,1.696039285169739,-0.3719999999999999,-0.05576235145277048,-0.3729999999999999,1.256174706424508,-0.3719999999999999,0.2497068000129052
-0.3719999999999999,1.695983522818286,-0.3709999999999999,-0.05612373639918284,-0.3719999999999999,1.256424413224521,-0.3709999999999999,0.2497013208442309
