/ed_neo1 (Design_Point=1) X,/ed_neo1 (Design_Point=1) Y,/Vprod (Design_Point=1) X,/Vprod (Design_Point=1) Y
-0.3106800000001352,1.722962226294617,-0.3106800000001352,1.284745189916821
-0.3103200000001352,1.722940734652707,-0.3103200000001352,1.28483489718697
-0.3099600000001351,1.722919192082055,-0.3099600000001351,1.284924602018881
-0.3096000000001351,1.722897598409809,-0.3096000000001351,1.28501430439165
-0.3092400000001351,1.72287595346222,-0.3092400000001351,1.285104004284197
-0.308880000000135,1.722854257064852,-0.308880000000135,1.285193701675275
-0.308520000000135,1.722832509042444,-0.308520000000135,1.285283396543462
-0.308160000000135,1.722810709218939,-0.308160000000135,1.285373088867158
-0.307800000000135,1.722788857417412,-0.307800000000135,1.285462778624588
-0.3074400000001349,1.722766953460245,-0.3074400000001349,1.285552465793798
-0.3070800000001349,1.722744997168857,-0.3070800000001349,1.285642150352659
-0.3067200000001349,1.722722988364071,-0.3067200000001349,1.285731832278854
-0.3063600000001349,1.722700926865837,-0.3063600000001349,1.28582151154989
-0.3060000000001348,1.72267881249295,-0.3060000000001348,1.285911188143087
-0.3056400000001348,1.722656645063785,-0.3056400000001348,1.286000862035581
-0.3052800000001348,1.722634424395501,-0.3052800000001348,1.28609053320432
-0.3049200000001347,1.722612150304944,-0.3049200000001347,1.286180201626067
-0.3045600000001347,1.722589822607558,-0.3045600000001347,1.286269867277392
-0.3042000000001347,1.722567441118394,-0.3042000000001347,1.286359530134675
-0.3038400000001347,1.722545005651302,-0.3038400000001347,1.286449190174106
-0.3034800000001346,1.7225225160194,-0.3034800000001346,1.286538847371679
-0.3031200000001346,1.722499972034845,-0.3031200000001346,1.286628501703191
-0.3027600000001346,1.722477373509317,-0.3027600000001346,1.286718153144246
-0.3024000000001346,1.722454720252906,-0.3024000000001346,1.286807801670244
-0.3020400000001345,1.722432012075503,-0.3020400000001345,1.286897447256391
-0.3016800000001345,1.722409248785782,-0.3016800000001345,1.286987089877686
-0.3013200000001345,1.722386430191524,-0.3013200000001345,1.28707672950893
-0.3009600000001345,1.722363556099655,-0.3009600000001345,1.287166366124712
-0.3006000000001344,1.722340626316146,-0.3006000000001344,1.287255999699422
-0.3002400000001344,1.722317640646331,-0.3002400000001344,1.287345630207237
-0.2998800000001344,1.722294598894208,-0.2998800000001344,1.287435257622128
-0.2995200000001343,1.722271500863037,-0.2995200000001343,1.287524881917851
-0.2991600000001343,1.722248346355381,-0.2991600000001343,1.287614503067953
-0.2988000000001343,1.722225135172398,-0.2988000000001343,1.287704121045763
-0.2984400000001343,1.722201867114775,-0.2984400000001343,1.287793735824396
-0.2980800000001342,1.722178541982027,-0.2980800000001342,1.287883347376747
-0.2977200000001342,1.722155159572516,-0.2977200000001342,1.287972955675494
-0.2973600000001342,1.722131719684155,-0.2973600000001342,1.288062560693092
-0.2970000000001342,1.722108222113414,-0.2970000000001342,1.288152162401774
-0.2966400000001341,1.722084666656198,-0.2966400000001341,1.288241760773547
-0.2962800000001341,1.722061053107059,-0.2962800000001341,1.288331355780193
-0.2959200000001341,1.722037381259706,-0.2959200000001341,1.288420947393264
-0.295560000000134,1.722013650907105,-0.295560000000134,1.288510535584085
-0.295200000000134,1.721989861840783,-0.295200000000134,1.288600120323745
-0.294840000000134,1.721966013851647,-0.294840000000134,1.288689701583104
-0.294480000000134,1.721942106729571,-0.294480000000134,1.288779279332783
-0.2941200000001339,1.721918140263068,-0.2941200000001339,1.288868853543169
-0.2937600000001339,1.721894114240083,-0.2937600000001339,1.288958424184407
-0.2934000000001339,1.721870028447181,-0.2934000000001339,1.289047991226404
-0.2930400000001339,1.721845882670118,-0.2930400000001339,1.289137554638821
-0.2926800000001338,1.721821676693648,-0.2926800000001338,1.289227114391079
-0.2923200000001338,1.721797410301126,-0.2923200000001338,1.289316670452348
-0.2919600000001338,1.721773083275444,-0.2919600000001338,1.289406222791554
-0.2916000000001338,1.72174869539775,-0.2916000000001338,1.289495771377368
-0.2912400000001337,1.721724246448674,-0.2912400000001337,1.289585316178215
-0.2908800000001337,1.721699736207676,-0.2908800000001337,1.289674857162259
-0.2905200000001337,1.721675164452917,-0.2905200000001337,1.289764394297413
-0.2901600000001336,1.721650530961419,-0.2901600000001336,1.289853927551332
-0.2898000000001336,1.721625835509643,-0.2898000000001336,1.289943456891407
-0.2894400000001336,1.721601077872572,-0.2894400000001336,1.290032982284773
-0.2890800000001336,1.721576257823912,-0.2890800000001336,1.290122503698296
-0.2887200000001335,1.721551375136734,-0.2887200000001335,1.290212021098579
-0.2883600000001335,1.721526429582472,-0.2883600000001335,1.290301534451954
-0.2880000000001335,1.721501420931825,-0.2880000000001335,1.290391043724488
